month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,year,month,year_month,used_room_nights,leftover_rooms
2023-04,40539748.88888889,57630054.20018536,161014.0,354680.0,0.0,1215000.0,218700.0,9.22222222222222,1.5555555555555556,755000.0,2023,4,2023_04,17.0,13.0
2023-05,40695434.5,57630054.20018536,161014.0,354680.0,0.0,1717500.0,309150.0,37.0,2.333333333333333,727500.0,2023,5,2023_05,27.0,4.0
2023-06,41044873.54545455,55875945.00016851,161014.0,354680.0,0.0,1748636.3636363635,314754.54545454547,56.72727272727273,2.1818181818181817,777727.2727272727,2023,6,2023_06,27.0,3.0
2023-07,41848535.09090909,57630054.200185366,161014.0,354680.0,0.0,1942727.2727272727,349690.9090909091,62.81818181818182,2.1818181818181817,887272.7272727273,2023,7,2023_07,29.0,2.0
2023-08,42277399.5,57630054.20018536,161014.0,354680.0,0.0,2000625.0,360112.5,83.375,1.75,1138125.0,2023,8,2023_08,29.0,2.0
2023-09,45294871.55555555,57630054.20018536,161014.0,354680.0,0.0,1983333.3333333333,331200.0,34.111111111111114,2.4444444444444446,815666.6666666666,2023,9,2023_09,27.0,3.0
2023-10,45679664.6,56444572.18016682,161014.0,354680.0,0.0,1680000.0,302400.0,48.2,2.2,768000.0,2023,10,2023_10,26.0,5.0
2023-11,46470618.571428575,56259182.02873031,161014.0,354680.0,0.0,1660714.2857142857,298928.5714285714,56.285714285714285,2.2857142857142856,724285.7142857143,2023,11,2023_11,22.0,8.0
2023-12,47144525.0,57630054.20018536,161014.0,354680.0,0.0,2635000.0,474300.0,70.2,2.6,998333.3333333334,2023,12,2023_12,13.0,18.0
2024-01,50178418.0,57630054.20018536,161014.0,354680.0,0.0,2407500.0,433350.0,3.5,3.5,657000.0,2024,1,2024_01,10.0,21.0
2024-02,51440336.0,57630054.20018536,161014.0,354680.0,0.0,652500.0,117450.0,1.0,1.0,652500.0,2024,2,2024_02,4.0,25.0
2024-03,52117030.16666666,57630054.20018536,161014.0,354680.0,0.0,1578750.0,284175.0,11.833333333333334,2.1666666666666665,728750.0,2024,3,2024_03,19.0,12.0
2024-04,51710741.5,57630054.20018536,161014.0,354680.0,0.0,2026666.6666666667,320700.0,63.0,2.6666666666666665,747916.6666666666,2024,4,2024_04,23.0,7.0
2024-05,54070710.14285714,57630054.20018536,161014.0,354680.0,0.0,2076428.5714285716,373757.1428571429,27.285714285714285,2.7142857142857144,771428.5714285715,2024,5,2024_05,24.0,7.0
2024-06,55336789.333333336,57630054.20018536,161014.0,354680.0,0.0,1860000.0,334800.0,30.666666666666668,2.0,952500.0,2024,6,2024_06,27.0,3.0
2024-07,56689964.583333336,57644826.68350325,161014.0,354680.0,0.0,2099583.333333333,377925.0,25.416666666666668,1.8333333333333333,1134166.6666666667,2024,7,2024_07,28.0,3.0
2024-08,56448922.125,57630054.20018536,161014.0,354680.0,0.0,3684375.0,663187.5,62.0,3.0,1229062.5,2024,8,2024_08,31.0,0.0
2024-09,58225644.71428572,57630054.20018536,161014.0,354680.0,0.0,3105000.0,558900.0,49.42857142857143,2.7142857142857144,1144285.7142857143,2024,9,2024_09,26.0,4.0
2024-10,60433298.11111111,57875619.28905365,161014.0,354680.0,0.0,2003333.3333333333,360600.0,23.77777777777778,1.7777777777777777,1166666.6666666667,2024,10,2024_10,22.0,9.0
2024-12,61894181.25,57630054.20018536,161014.0,354680.0,0.0,3352500.0,603450.0,58.0,3.0,1094062.5,2024,12,2024_12,20.0,11.0
2025-01,63803653.8,57630054.20018536,161014.0,354680.0,0.0,1656000.0,298080.0,32.0,2.2,732000.0,2025,1,2025_01,18.0,13.0
2025-02,65561127.0,57630054.20018536,161014.0,354680.0,0.0,2070000.0,372600.0,2.0,3.0,675000.0,2025,2,2025_02,17.0,11.0
